Cost (dollars per acre)
3499
""
6240
3353
4544
3913
3023
5581
5202
3445
6475
5329
5582
6270
5079
3405
""
4137
5911
""
3700
3805
5461
4756
5850
4344
""
""
5031
5138
3274
""
5727
5256
3972
3433
4757
5661
6881
4181
6875
""
3782
5001
4927
6193
6285
""
""
6737
3357
3235
4266
4227
3315
5885
4004
7309
4451
3212
5134
4953
7811
4334
3677
""
3905
3253
4155
7243
""
""
5183
""
""
4539
""
5123
4835
5456
8219
7556
3845
