County,Wage,State
Cherokee,"40,638",Oklahoma
Choctaw,"40,395",Oklahoma
Cimarron,"68,769",Oklahoma
Cleveland,"49,946",Oklahoma
Coal,"44,170",Oklahoma
Comanche,"47,650",Oklahoma
Cotton,"51,300",Oklahoma
Craig,"43,958",Oklahoma
Creek,"47,927",Oklahoma
Custer,"46,226",Oklahoma
Delaware,"40,950",Oklahoma
Dewey,"53,807",Oklahoma
Ellis,"57,564",Oklahoma
Garfield,"48,861",Oklahoma
Garvin,"48,690",Oklahoma
Grady,"47,840",Oklahoma
Grant,"60,177",Oklahoma
Greer,"35,502",Oklahoma
Harmon,"51,088",Oklahoma
Harper,"54,555",Oklahoma
Haskell,"42,506",Oklahoma
Hughes,"46,703",Oklahoma
Jackson,"49,372",Oklahoma
Jefferson,"41,152",Oklahoma
Johnston,"43,246",Oklahoma
Kay,"47,817",Oklahoma
Kingfisher,"67,299",Oklahoma
Kiowa,"45,875",Oklahoma
Latimer,"40,932",Oklahoma
Le Flore,"40,214",Oklahoma
Lincoln,"44,687",Oklahoma
Love,"43,592",Oklahoma
McClain,"53,330",Oklahoma
McCurtain,"42,574",Oklahoma
McIntosh,"42,241",Oklahoma
Major,"47,185",Oklahoma
Marshall,"43,325",Oklahoma
Mayes,"44,615",Oklahoma
Murray,"48,831",Oklahoma
Muskogee,"43,699",Oklahoma
Noble,"51,172",Oklahoma
Nowata,"46,337",Oklahoma
Okfuskee,"37,839",Oklahoma
Oklahoma,"63,151",Oklahoma
Okmulgee,"41,808",Oklahoma
Osage,"42,015",Oklahoma
Ottawa,"45,484",Oklahoma
Pawnee,"43,859",Oklahoma
Payne,"43,952",Oklahoma
Pittsburg,"42,102",Oklahoma
Pontotoc,"51,619",Oklahoma
Pottawatomie,"46,730",Oklahoma
Pushmataha,"39,442",Oklahoma
Roger Mills,"50,590",Oklahoma
Rogers,"52,142",Oklahoma
Seminole,"41,119",Oklahoma
Sequoyah,"42,780",Oklahoma
Stephens,"48,328",Oklahoma
Texas,"58,194",Oklahoma
Tillman,"40,610",Oklahoma
Tulsa,"66,535",Oklahoma
Wagoner,"47,142",Oklahoma
Washington,"78,103",Oklahoma
Washita,"40,961",Oklahoma
Woods,"50,198",Oklahoma
Woodward,"41,180",Oklahoma
Baker,"48,107",Oregon
Benton,"54,174",Oregon
Clackamas,"71,504",Oregon
Clatsop,"52,250",Oregon
Columbia,"53,573",Oregon
Coos,"55,759",Oregon
Crook,"50,708",Oregon
Curry,"53,044",Oregon
Deschutes,"67,743",Oregon
Douglas,"50,595",Oregon
Gilliam,"63,645",Oregon
Grant,"50,870",Oregon
Harney,"49,257",Oregon
Hood River,"65,127",Oregon
Jackson,"56,842",Oregon
Jefferson,"43,145",Oregon
Josephine,"54,466",Oregon
Klamath,"48,050",Oregon
Lake,"47,066",Oregon
Lane,"55,146",Oregon
Lincoln,"52,482",Oregon
Linn,"52,695",Oregon
Malheur,"38,923",Oregon
Marion,"53,791",Oregon
Morrow,"51,670",Oregon
Multnomah,"70,331",Oregon
Polk,"49,781",Oregon
Sherman,"67,558",Oregon
Tillamook,"51,643",Oregon
Umatilla,"48,439",Oregon
Union,"50,053",Oregon
Wallowa,"52,999",Oregon
Wasco,"52,527",Oregon
Washington,"71,537",Oregon
Wheeler,"42,637",Oregon
Yamhill,"55,802",Oregon
Adams,"55,752",Pennsylvania
Allegheny,"70,580",Pennsylvania
Armstrong,"54,198",Pennsylvania
Beaver,"56,452",Pennsylvania
Bedford,"49,916",Pennsylvania
Berks,"57,970",Pennsylvania
Blair,"54,470",Pennsylvania
Bradford,"49,063",Pennsylvania
Bucks,"83,011",Pennsylvania
Butler,"67,203",Pennsylvania
Cambria,"49,472",Pennsylvania
Cameron,"54,352",Pennsylvania
Carbon,"59,317",Pennsylvania
Centre,"54,994",Pennsylvania
Chester,"95,483",Pennsylvania
Clarion,"49,611",Pennsylvania
Clearfield,"52,478",Pennsylvania
Clinton,"49,312",Pennsylvania
Columbia,"50,176",Pennsylvania
Crawford,"48,431",Pennsylvania
Cumberland,"63,650",Pennsylvania
Dauphin,"58,741",Pennsylvania
Delaware,"77,180",Pennsylvania
Elk,"51,653",Pennsylvania
Erie,"52,747",Pennsylvania
Fayette,"51,007",Pennsylvania
Forest,"29,573",Pennsylvania
Franklin,"55,139",Pennsylvania
Fulton,"49,929",Pennsylvania
Greene,"50,266",Pennsylvania
Huntingdon,"46,331",Pennsylvania
Indiana,"47,945",Pennsylvania
Jefferson,"50,240",Pennsylvania
Juniata,"56,422",Pennsylvania
Lackawanna,"54,380",Pennsylvania
Lancaster,"61,547",Pennsylvania
Lawrence,"51,611",Pennsylvania
Lebanon,"55,803",Pennsylvania
Lehigh,"62,537",Pennsylvania
Luzerne,"52,300",Pennsylvania
Lycoming,"50,464",Pennsylvania
McKean,"51,169",Pennsylvania
Mercer,"49,311",Pennsylvania
Mifflin,"46,768",Pennsylvania
Monroe,"53,118",Pennsylvania
Montgomery,"88,671",Pennsylvania
Northampton,"63,256",Pennsylvania
Northumberland,"49,525",Pennsylvania
Perry,"53,700",Pennsylvania
Philadelphia,"60,869",Pennsylvania
Pike,"56,008",Pennsylvania
Potter,"51,432",Pennsylvania
Schuylkill,"49,451",Pennsylvania
Snyder,"50,846",Pennsylvania
Somerset,"48,135",Pennsylvania
Sullivan,"55,564",Pennsylvania
Susquehanna,"55,354",Pennsylvania
Tioga,"47,572",Pennsylvania
Union,"50,630",Pennsylvania
Venango,"50,691",Pennsylvania
Warren,"49,356",Pennsylvania
Washington,"65,452",Pennsylvania
Wayne,"52,351",Pennsylvania
Westmoreland,"59,874",Pennsylvania
Wyoming,"55,902",Pennsylvania
York,"57,870",Pennsylvania
Bristol,"87,810",Rhode Island
Kent,"67,906",Rhode Island
Newport,"84,054",Rhode Island
Providence,"56,429",Rhode Island
Washington,"77,855",Rhode Island
Abbeville,"40,596",South Carolina
Aiken,"51,057",South Carolina
Allendale,"41,814",South Carolina
Anderson,"46,894",South Carolina
Bamberg,"41,081",South Carolina
Barnwell,"41,828",South Carolina
Beaufort,"70,166",South Carolina
Berkeley,"48,919",South Carolina
Calhoun,"50,375",South Carolina
Charleston,"73,032",South Carolina
Cherokee,"40,230",South Carolina
Chester,"43,169",South Carolina
Chesterfield,"39,538",South Carolina
Clarendon,"44,874",South Carolina
Colleton,"42,481",South Carolina
Darlington,"47,845",South Carolina
Dillon,"39,567",South Carolina
Dorchester,"46,857",South Carolina
Edgefield,"45,299",South Carolina
Fairfield,"48,634",South Carolina
Florence,"51,554",South Carolina
Georgetown,"57,656",South Carolina
Greenville,"55,442",South Carolina
Greenwood,"44,723",South Carolina
Hampton,"41,689",South Carolina
Horry,"46,817",South Carolina
Jasper,"41,531",South Carolina
Kershaw,"50,635",South Carolina
Lancaster,"55,033",South Carolina
Laurens,"41,245",South Carolina
Lee,"41,364",South Carolina
Lexington,"55,304",South Carolina
McCormick,"44,391",South Carolina
Marion,"41,519",South Carolina
Marlboro,"37,933",South Carolina
Newberry,"46,917",South Carolina
Oconee,"52,336",South Carolina
Orangeburg,"42,376",South Carolina
Pickens,"43,842",South Carolina
Richland,"52,980",South Carolina
Saluda,"44,503",South Carolina
Spartanburg,"50,596",South Carolina
Sumter,"47,046",South Carolina
Union,"40,821",South Carolina
Williamsburg,"40,746",South Carolina
York,"56,566",South Carolina
Aurora,"54,512",South Dakota
Beadle,"55,409",South Dakota
Bennett,"46,894",South Dakota
Bon Homme,"47,665",South Dakota
Brookings,"53,860",South Dakota
Brown,"66,044",South Dakota
Brule,"59,267",South Dakota
Buffalo,"32,773",South Dakota
Butte,"45,885",South Dakota
Campbell,"79,723",South Dakota
Charles Mix,"50,673",South Dakota
Clark,"71,383",South Dakota
Clay,"47,288",South Dakota
Codington,"59,387",South Dakota
Corson,"38,834",South Dakota
Custer,"59,756",South Dakota
Davison,"59,258",South Dakota
Day,"65,558",South Dakota
Deuel,"62,580",South Dakota
Dewey,"54,255",South Dakota
Douglas,"67,626",South Dakota
Edmunds,"77,988",South Dakota
Fall River,"51,225",South Dakota
Faulk,"80,152",South Dakota
Grant,"63,935",South Dakota
Gregory,"57,305",South Dakota
Haakon,"74,530",South Dakota
Hamlin,"57,440",South Dakota
Hand,"75,506",South Dakota
Hanson,"77,579",South Dakota
Harding,"60,414",South Dakota
Hughes,"61,666",South Dakota
Hutchinson,"65,945",South Dakota
Hyde,"70,095",South Dakota
Jackson,"39,102",South Dakota
Jerauld,"62,655",South Dakota
Jones,"86,307",South Dakota
Kingsbury,"70,430",South Dakota
Lake,"69,817",South Dakota
Lawrence,"60,510",South Dakota
Lincoln,"77,245",South Dakota
Lyman,"57,365",South Dakota
McCook,"67,402",South Dakota
McPherson,"65,047",South Dakota
Meade,"50,972",South Dakota
Mellette,"43,805",South Dakota
Miner,"65,438",South Dakota
Minnehaha,"69,693",South Dakota
Moody,"65,719",South Dakota
Oglala Lakota,"34,333",South Dakota
Pennington,"64,035",South Dakota
Perkins,"50,692",South Dakota
Potter,"87,031",South Dakota
Roberts,"50,205",South Dakota
Sanborn,"64,677",South Dakota
Spink,"76,434",South Dakota
Stanley,"78,300",South Dakota
Sully,"106,241",South Dakota
Todd,"35,663",South Dakota
Tripp,"60,022",South Dakota
Turner,"73,093",South Dakota
Union,"134,811",South Dakota
Walworth,"58,681",South Dakota
Yankton,"59,224",South Dakota
Ziebach,"30,532",South Dakota
Anderson,"50,901",Tennessee
Bedford,"46,083",Tennessee
Benton,"40,963",Tennessee
Bledsoe,"33,675",Tennessee
Blount,"52,596",Tennessee
Bradley,"46,409",Tennessee
Campbell,"42,471",Tennessee
Cannon,"44,419",Tennessee
Carroll,"40,502",Tennessee
Carter,"40,739",Tennessee
Cheatham,"54,069",Tennessee
Chester,"41,568",Tennessee
Claiborne,"42,542",Tennessee
Clay,"40,338",Tennessee
Cocke,"40,384",Tennessee
Coffee,"46,299",Tennessee
Crockett,"49,729",Tennessee
Cumberland,"44,295",Tennessee
Davidson,"82,087",Tennessee
Decatur,"48,912",Tennessee
DeKalb,"47,634",Tennessee
Dickson,"50,218",Tennessee
Dyer,"51,559",Tennessee
Fayette,"68,153",Tennessee
Fentress,"40,402",Tennessee
Franklin,"45,975",Tennessee
Gibson,"46,449",Tennessee
Giles,"43,321",Tennessee
Grainger,"41,569",Tennessee
Greene,"41,796",Tennessee
Grundy,"39,349",Tennessee
Hamblen,"45,234",Tennessee
Hamilton,"60,089",Tennessee
Hancock,"34,135",Tennessee
Hardeman,"35,485",Tennessee
Hardin,"45,053",Tennessee
Hawkins,"41,436",Tennessee
Haywood,"41,503",Tennessee
Henderson,"44,357",Tennessee
Henry,"49,852",Tennessee
Hickman,"41,689",Tennessee
Houston,"39,128",Tennessee
Humphreys,"44,127",Tennessee
Jackson,"38,953",Tennessee
Jefferson,"44,330",Tennessee
Johnson,"37,936",Tennessee
Knox,"59,934",Tennessee
Lake,"29,534",Tennessee
Lauderdale,"39,733",Tennessee
Lawrence,"41,310",Tennessee
Lewis,"41,476",Tennessee
Lincoln,"48,683",Tennessee
Loudon,"60,642",Tennessee
McMinn,"43,715",Tennessee
McNairy,"38,354",Tennessee
Macon,"39,669",Tennessee
Madison,"51,004",Tennessee
Marion,"46,559",Tennessee
Marshall,"47,446",Tennessee
Maury,"52,041",Tennessee
Meigs,"39,452",Tennessee
Monroe,"42,276",Tennessee
Montgomery,"48,104",Tennessee
Moore,"48,015",Tennessee
Morgan,"39,005",Tennessee
Obion,"48,493",Tennessee
Overton,"40,959",Tennessee
Perry,"38,404",Tennessee
Pickett,"45,308",Tennessee
Polk,"39,180",Tennessee
Putnam,"47,536",Tennessee
Rhea,"42,174",Tennessee
Roane,"49,972",Tennessee
Robertson,"51,097",Tennessee
Rutherford,"49,411",Tennessee
Scott,"37,333",Tennessee
Sequatchie,"43,709",Tennessee
Sevier,"49,012",Tennessee
Shelby,"59,212",Tennessee
Smith,"48,602",Tennessee
Stewart,"48,205",Tennessee
Sullivan,"50,418",Tennessee
Sumner,"59,105",Tennessee
Tipton,"49,219",Tennessee
Trousdale,"36,454",Tennessee
Unicoi,"43,044",Tennessee
Union,"40,349",Tennessee
Van Buren,"36,669",Tennessee
Warren,"41,296",Tennessee
Washington,"52,089",Tennessee
Wayne,"35,726",Tennessee
Weakley,"45,366",Tennessee
White,"40,770",Tennessee
Williamson,"107,698",Tennessee
Wilson,"59,229",Tennessee
Anderson,"42,444",Texas
Angelina,"46,170",Texas
Aransas,"59,878",Texas
Archer,"60,101",Texas
Armstrong,"61,382",Texas
Atascosa,"46,737",Texas
Austin,"58,284",Texas
Bailey,"51,709",Texas
Bandera,"58,706",Texas
Bastrop,"44,230",Texas
Baylor,"58,779",Texas
Bee,"34,738",Texas
Bell,"49,405",Texas
Bexar,"51,780",Texas
Blanco,"66,088",Texas
Borden,"101,470",Texas
Bosque,"50,943",Texas
Bowie,"47,792",Texas
Brazoria,"56,360",Texas
Brazos,"46,702",Texas
Brewster,"53,014",Texas
Briscoe,"58,862",Texas
Brooks,"43,437",Texas
Brown,"46,028",Texas
Burleson,"57,482",Texas
Burnet,"59,381",Texas
Caldwell,"41,642",Texas
Calhoun,"60,589",Texas
Callahan,"50,963",Texas
Cameron,"37,861",Texas
Camp,"46,705",Texas
Carson,"56,357",Texas
Cass,"46,101",Texas
Castro,"81,900",Texas
Chambers,"60,591",Texas
Cherokee,"43,376",Texas
Childress,"39,953",Texas
Clay,"51,938",Texas
Cochran,"62,305",Texas
Coke,"48,804",Texas
Coleman,"54,822",Texas
Collin,"77,006",Texas
Collingsworth,"54,140",Texas
Colorado,"59,219",Texas
Comal,"67,063",Texas
Comanche,"50,112",Texas
Concho,"38,635",Texas
Cooke,"59,800",Texas
Coryell,"37,476",Texas
Cottle,"73,613",Texas
Crane,"54,119",Texas
Crockett,"57,013",Texas
Crosby,"52,897",Texas
Culberson,"71,297",Texas
Dallam,"70,511",Texas
Dallas,"72,218",Texas
Dawson,"46,139",Texas
Deaf Smith,"60,615",Texas
Delta,"47,471",Texas
Denton,"68,773",Texas
DeWitt,"66,916",Texas
Dickens,"50,869",Texas
Dimmit,"55,771",Texas
Donley,"50,574",Texas
Duval,"51,887",Texas
Eastland,"66,400",Texas
Ector,"53,610",Texas
Edwards,"73,981",Texas
Ellis,"53,393",Texas
El Paso,"44,064",Texas
Erath,"46,906",Texas
Falls,"43,658",Texas
Fannin,"46,449",Texas
Fayette,"65,339",Texas
Fisher,"57,245",Texas
Floyd,"53,292",Texas
Foard,"61,279",Texas
Fort Bend,"65,797",Texas
Franklin,"51,926",Texas
Freestone,"44,014",Texas
Frio,"39,898",Texas
Gaines,"50,616",Texas
Galveston,"60,071",Texas
Garza,"36,426",Texas
Gillespie,"78,039",Texas
Glasscock,"124,963",Texas
Goliad,"55,947",Texas
Gonzales,"57,578",Texas
Gray,"49,815",Texas
Grayson,"52,055",Texas
Gregg,"52,958",Texas
Grimes,"41,914",Texas
Guadalupe,"52,190",Texas
Hale,"43,543",Texas
Hall,"48,706",Texas
Hamilton,"77,672",Texas
Hansford,"77,093",Texas
Hardeman,"54,847",Texas
Hardin,"52,544",Texas
Harris,"65,869",Texas
Harrison,"47,928",Texas
Hartley,"75,790",Texas
Haskell,"54,321",Texas
Hays,"56,097",Texas
Hemphill,"75,731",Texas
Henderson,"48,594",Texas
Hidalgo,"34,503",Texas
Hill,"49,968",Texas
Hockley,"52,586",Texas
Hood,"60,912",Texas
Hopkins,"50,272",Texas
Houston,"48,835",Texas
Howard,"51,007",Texas
Hudspeth,"42,500",Texas
Hunt,"46,801",Texas
Hutchinson,"50,130",Texas
Irion,"78,988",Texas
Jack,"45,263",Texas
Jackson,"51,971",Texas
Jasper,"49,475",Texas
Jeff Davis,"59,302",Texas
Jefferson,"48,243",Texas
Jim Wells,"50,892",Texas
Johnson,"51,619",Texas
Jones,"38,914",Texas
Karnes,"73,144",Texas
Kaufman,"49,494",Texas
Kendall,"96,628",Texas
Kenedy,"47,141",Texas
Kent,"55,725",Texas
Kerr,"61,401",Texas
Kimble,"54,345",Texas
King,"91,930",Texas
Kinney,"42,929",Texas
Kleberg,"45,818",Texas
Knox,"50,320",Texas
Lamar,"50,699",Texas
Lamb,"54,689",Texas
Lampasas,"58,507",Texas
La Salle,"52,652",Texas
Lavaca,"62,375",Texas
Lee,"56,674",Texas
Leon,"53,179",Texas
Liberty,"42,813",Texas
Limestone,"47,439",Texas
Lipscomb,"102,569",Texas
Live Oak,"46,134",Texas
Llano,"59,689",Texas
Loving,"115,158",Texas
Lubbock,"50,881",Texas
Lynn,"58,496",Texas
McCulloch,"45,744",Texas
McLennan,"49,512",Texas
McMullen,"110,273",Texas
Madison,"40,859",Texas
Marion,"47,582",Texas
Martin,"84,121",Texas
Mason,"57,094",Texas
Matagorda,"50,775",Texas
Maverick,"38,448",Texas
Medina,"50,076",Texas
Menard,"47,390",Texas
Midland,"126,738",Texas
Milam,"45,286",Texas
Mills,"51,712",Texas
Mitchell,"35,417",Texas
Montague,"45,716",Texas
Montgomery,"68,974",Texas
Moore,"56,634",Texas
Morris,"47,226",Texas
Motley,"41,754",Texas
Nacogdoches,"46,246",Texas
Navarro,"45,616",Texas
Newton,"43,123",Texas
Nolan,"52,629",Texas
Nueces,"52,852",Texas
Ochiltree,"64,247",Texas
Oldham,"72,126",Texas
Orange,"48,912",Texas
Palo Pinto,"52,042",Texas
Panola,"53,292",Texas
Parker,"65,358",Texas
Parmer,"63,512",Texas
Pecos,"43,661",Texas
Polk,"47,994",Texas
Potter,"55,764",Texas
Presidio,"61,776",Texas
Rains,"41,563",Texas
Randall,"56,381",Texas
Reagan,"61,077",Texas
Real,"55,449",Texas
Red River,"53,818",Texas
Reeves,"52,811",Texas
Refugio,"54,475",Texas
Roberts,"56,868",Texas
Robertson,"52,894",Texas
Rockwall,"70,833",Texas
Runnels,"51,307",Texas
Rusk,"44,874",Texas
Sabine,"44,900",Texas
San Augustine,"50,573",Texas
San Jacinto,"46,477",Texas
San Patricio,"51,392",Texas
San Saba,"43,735",Texas
Schleicher,"51,775",Texas
Scurry,"47,138",Texas
Shackelford,"93,075",Texas
Shelby,"54,640",Texas
Sherman,"122,945",Texas
Smith,"60,284",Texas
Somervell,"54,826",Texas
Starr,"34,933",Texas
Stephens,"48,498",Texas
Sterling,"65,866",Texas
Stonewall,"73,182",Texas
Sutton,"68,431",Texas
Swisher,"72,623",Texas
Tarrant,"58,940",Texas
Taylor,"58,316",Texas
Terrell,"63,481",Texas
Terry,"45,353",Texas
Throckmorton,"69,390",Texas
Titus,"48,007",Texas
Tom Green,"59,877",Texas
Travis,"81,708",Texas
Trinity,"47,101",Texas
Tyler,"41,613",Texas
Upshur,"43,308",Texas
Upton,"61,595",Texas
Uvalde,"53,257",Texas
Val Verde,"46,642",Texas
Van Zandt,"45,045",Texas
Victoria,"58,479",Texas
Walker,"33,345",Texas
Waller,"49,404",Texas
Ward,"55,099",Texas
Washington,"61,295",Texas
Webb,"40,850",Texas
Wharton,"52,948",Texas
Wheeler,"49,906",Texas
Wichita,"50,210",Texas
Wilbarger,"59,952",Texas
Willacy,"37,792",Texas
Wilson,"55,762",Texas
Winkler,"66,180",Texas
Wise,"53,871",Texas
Wood,"47,546",Texas
Yoakum,"51,954",Texas
Young,"58,602",Texas
Zapata,"33,288",Texas
Zavala,"43,868",Texas
Beaver,"46,960",Utah
Box Elder,"45,456",Utah
Cache,"47,269",Utah
Carbon,"45,120",Utah
Daggett,"51,672",Utah
Davis,"54,820",Utah
Duchesne,"42,903",Utah
Emery,"40,871",Utah
Garfield,"50,209",Utah
Grand,"69,832",Utah
Iron,"38,834",Utah
Juab,"48,060",Utah
Kane,"49,842",Utah
Millard,"44,281",Utah
Morgan,"63,256",Utah
Piute,"49,233",Utah
Rich,"43,280",Utah
Salt Lake,"62,547",Utah
San Juan,"34,038",Utah
Sanpete,"39,139",Utah
Sevier,"41,983",Utah
Summit,"183,972",Utah
Tooele,"46,131",Utah
Uintah,"35,128",Utah
Utah,"50,661",Utah
Wasatch,"71,360",Utah
Washington,"47,162",Utah
Wayne,"52,647",Utah
Weber,"49,857",Utah
Addison,"59,540",Vermont
Bennington,"61,287",Vermont
Caledonia,"50,533",Vermont
Chittenden,"67,921",Vermont
Essex,"48,120",Vermont
Franklin,"54,756",Vermont
Grand Isle,"70,543",Vermont
Lamoille,"62,305",Vermont
Orange,"55,573",Vermont
Orleans,"51,960",Vermont
Rutland,"57,831",Vermont
Washington,"67,529",Vermont
Windham,"55,841",Vermont
Windsor,"69,523",Vermont
Accomack,"57,520",Virginia
Amelia,"50,973",Virginia
Amherst,"44,051",Virginia
Appomattox,"44,943",Virginia
Arlington,"107,603",Virginia
Bath,"72,157",Virginia
Bedford,"53,861",Virginia
Bland,"42,820",Virginia
Botetourt,"57,997",Virginia
Brunswick,"40,151",Virginia
Buchanan,"44,003",Virginia
Buckingham,"37,220",Virginia
Caroline,"49,650",Virginia
Charles City,"58,882",Virginia
Charlotte,"43,870",Virginia
Chesterfield,"61,200",Virginia
Clarke,"75,403",Virginia
Craig,"47,457",Virginia
Culpeper,"55,336",Virginia
Cumberland,"47,040",Virginia
Dickenson,"41,437",Virginia
Essex,"51,780",Virginia
Fauquier,"78,810",Virginia
Floyd,"47,376",Virginia
Fluvanna,"53,612",Virginia
Franklin,"50,264",Virginia
Giles,"48,098",Virginia
Gloucester,"55,944",Virginia
Goochland,"110,781",Virginia
Grayson,"38,600",Virginia
Greene,"51,152",Virginia
Halifax,"43,557",Virginia
Hanover,"68,934",Virginia
Henrico,"74,650",Virginia
Highland,"50,196",Virginia
Isle of Wight,"63,005",Virginia
King and Queen,"55,935",Virginia
King George,"62,077",Virginia
King William,"53,900",Virginia
Lancaster,"70,474",Virginia
Lee,"38,300",Virginia
Loudoun,"90,254",Virginia
Louisa,"50,089",Virginia
Lunenburg,"40,149",Virginia
Madison,"55,148",Virginia
Mathews,"66,906",Virginia
Mecklenburg,"46,019",Virginia
Middlesex,"59,146",Virginia
Nelson,"63,085",Virginia
New Kent,"90,086",Virginia
Northampton,"63,928",Virginia
Northumberland,"63,005",Virginia
Nottoway,"42,851",Virginia
Orange,"57,849",Virginia
Page,"47,157",Virginia
Patrick,"39,564",Virginia
Powhatan,"67,031",Virginia
Prince Edward,"38,883",Virginia
Pulaski,"47,174",Virginia
Rappahannock,"76,181",Virginia
Richmond,"44,749",Virginia
Russell,"40,061",Virginia
Scott,"39,583",Virginia
Shenandoah,"53,753",Virginia
Stafford,"62,954",Virginia
Surry,"51,892",Virginia
Sussex,"39,243",Virginia
Tazewell,"43,786",Virginia
Warren,"54,290",Virginia
Westmoreland,"50,190",Virginia
Wythe,"43,593",Virginia
Independent cities:,,Virginia
Alexandria,"100,017",Virginia
Chesapeake,"56,742",Virginia
Hampton,"49,233",Virginia
Newport News,"47,448",Virginia
Norfolk,"46,923",Virginia
Portsmouth,"47,944",Virginia
Richmond,"68,048",Virginia
Roanoke,"50,599",Virginia
Suffolk,"59,309",Virginia
Virginia Beach,"63,942",Virginia
Combination areas3:,,Virginia
Albemarle,"85,867",Virginia
Charlottesville,"85,867",Virginia
Alleghany,"45,094",Virginia
Covington,"45,094",Virginia
Augusta,"51,965",Virginia
Staunton,"51,965",Virginia
Waynesboro,"51,965",Virginia
Campbell,"44,577",Virginia
Lynchburg,"44,577",Virginia
Carroll,"43,247",Virginia
Galax,"43,247",Virginia
Dinwiddie,"47,335",Virginia
Colonial Heights,"47,335",Virginia
Petersburg,"47,335",Virginia
Fairfax,"94,677",Virginia
Fairfax City,"94,677",Virginia
Falls Church,"94,677",Virginia
Frederick,"59,016",Virginia
Winchester,"59,016",Virginia
Greensville,"39,397",Virginia
Emporia,"39,397",Virginia
Henry,"46,758",Virginia
Martinsville,"46,758",Virginia
James City,"71,981",Virginia
Williamsburg,"71,981",Virginia
Montgomery,"43,778",Virginia
Radford,"43,778",Virginia
Pittsylvania,"44,894",Virginia
Danville,"44,894",Virginia
Prince George,"42,377",Virginia
Hopewell,"42,377",Virginia
Prince William,"62,810",Virginia
Manassas,"62,810",Virginia
Manassas Park,"62,810",Virginia
Roanoke,"57,434",Virginia
Salem,"57,434",Virginia
Rockbridge,"46,700",Virginia
Buena Vista,"46,700",Virginia
Lexington,"46,700",Virginia
Rockingham,"47,217",Virginia
Harrisonburg,"47,217",Virginia
Southampton,"49,843",Virginia
Franklin,"49,843",Virginia
Spotsylvania,"59,414",Virginia
Fredericksburg,"59,414",Virginia
Washington,"47,310",Virginia
Bristol,"47,310",Virginia
Wise,"40,768",Virginia
Norton,"40,768",Virginia
York,"66,561",Virginia
Poquoson,"66,561",Virginia
Adams,"47,867",Washington
Asotin,"55,564",Washington
Benton,"54,958",Washington
Chelan,"62,792",Washington
Clallam,"54,894",Washington
Clark,"63,427",Washington
Columbia,"70,579",Washington
Cowlitz,"54,550",Washington
Douglas,"49,290",Washington
Ferry,"46,847",Washington
Franklin,"45,937",Washington
Garfield,"56,792",Washington
Grant,"48,845",Washington
Grays Harbor,"47,094",Washington
Island,"65,188",Washington
King,"108,212",Washington
Kitsap,"67,845",Washington
Kittitas,"52,846",Washington
Klickitat,"55,602",Washington
Lewis,"52,517",Washington
Lincoln,"51,578",Washington
Mason,"52,410",Washington
Okanogan,"50,517",Washington
Pacific,"46,597",Washington
Pend Oreille,"51,623",Washington
Pierce,"61,580",Washington
San Juan,"87,038",Washington
Skagit,"64,093",Washington
Skamania,"58,554",Washington
Snohomish,"68,858",Washington
Spokane,"53,770",Washington
Stevens,"47,613",Washington
Thurston,"61,062",Washington
Wahkiakum,"52,239",Washington
Walla Walla,"53,845",Washington
Whatcom,"58,137",Washington
Whitman,"46,502",Washington
Yakima,"50,872",Washington
Barbour,"40,576",West Virginia
Berkeley,"49,759",West Virginia
Boone,"41,910",West Virginia
Braxton,"41,547",West Virginia
Brooke,"50,271",West Virginia
Cabell,"49,866",West Virginia
Calhoun,"41,444",West Virginia
Clay,"39,788",West Virginia
Doddridge,"37,685",West Virginia
Fayette,"44,136",West Virginia
Gilmer,"35,405",West Virginia
Grant,"45,643",West Virginia
Greenbrier,"47,283",West Virginia
Hampshire,"43,618",West Virginia
Hancock,"49,823",West Virginia
Hardy,"40,562",West Virginia
Harrison,"57,205",West Virginia
Jackson,"45,681",West Virginia
Jefferson,"59,214",West Virginia
Kanawha,"55,897",West Virginia
Lewis,"43,341",West Virginia
Lincoln,"37,139",West Virginia
Logan,"43,764",West Virginia
McDowell,"34,141",West Virginia
Marion,"48,343",West Virginia
Marshall,"47,456",West Virginia
Mason,"42,126",West Virginia
Mercer,"44,564",West Virginia
Mineral,"48,155",West Virginia
Mingo,"37,396",West Virginia
Monongalia,"52,576",West Virginia
Monroe,"41,207",West Virginia
Morgan,"44,779",West Virginia
Nicholas,"40,915",West Virginia
Ohio,"61,486",West Virginia
Pendleton,"50,144",West Virginia
Pleasants,"49,077",West Virginia
Pocahontas,"50,236",West Virginia
Preston,"42,091",West Virginia
Putnam,"53,536",West Virginia
Raleigh,"47,265",West Virginia
Randolph,"45,453",West Virginia
Ritchie,"52,040",West Virginia
Roane,"39,963",West Virginia
Summers,"42,796",West Virginia
Taylor,"47,328",West Virginia
Tucker,"52,251",West Virginia
Tyler,"47,802",West Virginia
Upshur,"40,187",West Virginia
Wayne,"41,080",West Virginia
Webster,"34,564",West Virginia
Wetzel,"43,357",West Virginia
Wirt,"40,858",West Virginia
Wood,"52,329",West Virginia
Wyoming,"34,881",West Virginia
Adams,"46,002",Wisconsin
Ashland,"46,418",Wisconsin
Barron,"56,898",Wisconsin
Bayfield,"53,902",Wisconsin
Brown,"59,279",Wisconsin
Buffalo,"53,031",Wisconsin
Burnett,"49,108",Wisconsin
